code;pairCode;name;guid;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;categoryText10;categoryText11;
"AT_ATO-K736A";;"Pojistkový držák do DPS s krytem pro pojistky 5x20mm";"4627c8b6-a417-11f1-9375-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";;;;;;;;;;;
"AT_ATO-K741";;"Pojistkový držák do DPS s krytem pro pojistky 5x20mm";"4631a53e-a417-11f1-a6ec-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky";;;;;;;;;;;
"AT_ATO-L729";;"Oko kabelové 5,2mm, kabel 4mm2 (SC4-5)";"464ff1a6-a417-11f1-a0f1-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;;;
"AT_ATO-L729B";;"Oko kabelové 5,2mm, kabel 6mm2 (SC6-5)";"46599652-a417-11f1-ba7e-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory)";;;;;;;;;;;
"AT_LEC-RBA-2323-10";;"Kettlebell Litinový 10 kg REBEL ACTIVE RBA-2323-10";"46a74cee-a417-11f1-a47a-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Kettlebell";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Kettlebell";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ABL-17-01-041";;"Magnetický rotoped HMS M6995";"46dec8c2-a417-11f1-9a6b-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Rotopedy";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Rotopedy";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ABL-17-01-046";;"Magnetický rotoped HMS M8750 černý";"46e8e0a0-a417-11f1-accf-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Rotopedy";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Rotopedy";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ABL-17-62-132";;"Stojan na fitness míče a vaky HMS STR41";"47122500-a417-11f1-8a24-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_CP-ZDSAM";;"Konektor UTP/DC napájecí samec 5,5/2,1mm";"475319d4-a417-11f1-b612-bc2411e8af0e";"Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Konektory";"Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Konektory";;;;;;;;;;;
"AT_ATO-L911";;"Dutinka pro dva kabely 4mm2 šedá (TE4-12)";"48536adc-a417-11f1-aedc-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové dutinky";"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové dutinky";"Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Dutinky na kabel";;;;;;;;;;
