id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"40872";"39720";"osvetlenie";"0";"0";"";"1";"Cestovné adaptéry";"Cestovné adaptéry";"cestovne-adaptery";"";"";"Osvetlenie – Cestovné adaptéry | PremiumStore.sk";"Osvetlenie – Cestovné adaptéry skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"43938";"39720";"osvetlenie";"0";"0";"";"1";"LED sviečky";"LED sviečky";"led-sviecky";"";"";"LED sviečky | PremiumStore.sk";"LED sviečky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44289";"39720";"osvetlenie";"0";"0";"";"1";"Stojace lampy";"Stojace lampy";"stojace-lampy";"";"";"Stojace lampy | PremiumStore.sk";"Stojace lampy skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45285";"39720";"osvetlenie";"0";"0";"";"1";"Patice, Redukcie";"Patice, Redukcie";"patice--redukcie";"";"";"Patice, Redukcie | PremiumStore.sk";"Patice, Redukcie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45579";"39720";"osvetlenie";"0";"0";"";"1";"Infra žiarovky";"Infra žiarovky";"infra-ziarovky";"";"";"Infra žiarovky | PremiumStore.sk";"Infra žiarovky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"41694";"39723";"led-ziarovky";"0";"0";"";"1";"G9 patice";"G9 patice";"g9-patice";"";"";"G9 patice | PremiumStore.sk";"G9 patice – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45042";"39723";"led-ziarovky";"0";"0";"";"1";"MR16 patice";"MR16 patice";"mr16-patice";"";"";"MR16 patice | PremiumStore.sk";"MR16 patice na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45465";"39723";"led-ziarovky";"0";"0";"";"1";"G4 patice";"G4 patice";"g4-patice";"";"";"G4 patice | PremiumStore.sk";"G4 patice: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"47829";"39723";"led-ziarovky";"0";"0";"";"1";"G9&G4";"G9&G4";"g9-g4";"";"";"G9&G4 | PremiumStore.sk";"G9&G4 – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"47937";"39723";"led-ziarovky";"0";"0";"";"1";"Ostatné svetelné zdroje";"Ostatné svetelné zdroje";"ostatne-svetelne-zdroje";"";"";"Ostatné svetelné zdroje | PremiumStore.sk";"Ostatné svetelné zdroje na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"39747";"39735";"upratovacie-pomocky";"0";"0";"";"1";"Košťata a metly";"Košťata a metly";"kostata-a-metly";"";"";"Košťata a metly | PremiumStore.sk";"Košťata a metly v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43215";"39762";"naradie-a-dielna";"0";"0";"";"1";"Ostatné";"Ostatné";"ostatne-4";"";"";"Náradie a dielňa – Ostatné | PremiumStore.sk";"Náradie a dielňa – Ostatné – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45954";"39762";"naradie-a-dielna";"0";"0";"";"1";"Meracie nástroje";"Meracie nástroje";"meracie-nastroje";"";"";"Meracie nástroje | PremiumStore.sk";"Meracie nástroje – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"46053";"39762";"naradie-a-dielna";"0";"0";"";"1";"Stavebné náradie";"Stavebné náradie";"stavebne-naradie";"";"";"Stavebné náradie | PremiumStore.sk";"Stavebné náradie – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
