id;parentId;depth;is_leaf;visible;full_path;url;direct_products;subtree_products;empty
46260;39582;1;1;1;Zdravie a starostlivosť > Predlžovanie rias;predlzovanie-rias;0;0;1
46329;39582;1;0;0;Zdravie a starostlivosť > Ústne sprchy;ustne-sprchy-2;0;0;1
46341;39582;1;1;1;Zdravie a starostlivosť > Otoskopy;otoskopy;12;12;0
46404;39582;1;0;1;Zdravie a starostlivosť > Matka a dieťa;matka-a-dieta;13;13;0
46506;39582;1;0;0;Zdravie a starostlivosť > Erotika;erotika;0;0;1
46740;39582;1;1;1;Zdravie a starostlivosť > Váhy;vahy;0;0;1
39588;39585;2;1;1;Zdravie a starostlivosť > Starostlivosť o zuby > Elektrické zubné kefky;elektricke-zubne-kefky;46;46;0
39873;39585;2;1;1;Zdravie a starostlivosť > Starostlivosť o zuby > Príslušenstvo k zubným kefkám;prislusenstvo-k-zubnym-kefkam;65;65;0
40260;39585;2;1;1;Zdravie a starostlivosť > Starostlivosť o zuby > Ústne sprchy;ustne-sprchy;10;10;0
40602;39585;2;1;1;Zdravie a starostlivosť > Starostlivosť o zuby > Zubné kefky;zubne-kefky;9;9;0
39594;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;feny-na-vlasy;63;63;0
39645;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Zastrihávače;zastrihavace;34;34;0
39648;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy;kulmy-na-vlasy;58;58;0
39711;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy, krepovací kliešte;zehlicky-na-vlasy--krepovaci-klieste;34;34;0
39858;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Príslušenstvo k starostlivosť o vlasy;prislusenstvo-k-starostlivost-o-vlasy;15;15;0
40650;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Hrebene na vlasy;hrebene-na-vlasy;0;0;1
46539;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény;feny;12;12;0
46542;39591;2;1;1;Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy a kulmy;zehlicky-na-vlasy-a-kulmy;0;0;1
39600;39597;3;0;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače;mixery-a-slahace;14;122;0
39867;39597;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Kuchynské roboty;kuchynske-roboty;31;31;0
39888;39597;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Krájače potravín;krajace-potravin;21;21;0
40389;39597;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mlynčeky na mäso;mlynceky-na-maso;0;0;1
39603;39600;4;0;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry;mixery;6;64;0
39741;39600;4;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Elektrické sekáčiky;elektricke-sekaciky;13;13;0
39840;39600;4;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Šľahače;slahace;18;18;0
40143;39600;4;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Zmrzlinovače a jogurtovače;zmrzlinovace-a-jogurtovace;13;13;0
39606;39603;5;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Stolové mixéry;stolove-mixery;44;44;0
39843;39603;5;1;1;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Tyčové mixéry;tycove-mixery;14;14;0
39624;39621;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Filtre do digestorov;filtre-do-digestorov;0;0;1
39963;39621;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Komínové digestory;kominove-digestory;11;11;0
40056;39621;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Výsuvné, výklopné digestory;vysuvne--vyklopne-digestory;16;16;0
40146;39621;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Závesné digestory;zavesne-digestory;0;0;1
