old_url;new_url;match_type;old_full_path;new_full_path;old_id
/prislusenstvo-k-starostlivost-o-vlasy/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Príslušenstvo k starostlivosť o vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy;39858
/hrebene-na-vlasy/;/starostlivost-o-vlasy/;ancestor(-1);Zdravie a starostlivosť > Starostlivosť o vlasy > Hrebene na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy;40650
/feny/;/starostlivost-o-vlasy/;exact;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény;Zdravie a starostlivosť > Starostlivosť o vlasy;46539
/zehlicky-na-vlasy-a-kulmy/;/starostlivost-o-vlasy/;ancestor(-1);Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy a kulmy;Zdravie a starostlivosť > Starostlivosť o vlasy;46542
/mixery-a-slahace/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače;Domáce spotrebiče > Kuchynské roboty a krájače;39600
/kuchynske-roboty/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Kuchynské roboty;Domáce spotrebiče > Kuchynské roboty a krájače;39867
/krajace-potravin/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Krájače potravín;Domáce spotrebiče > Kuchynské roboty a krájače;39888
/mlynceky-na-maso/;/kuchynske-roboty-a-krajace/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mlynčeky na mäso;Domáce spotrebiče > Kuchynské roboty a krájače;40389
/mixery/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry;Domáce spotrebiče > Kuchynské roboty a krájače;39603
/elektricke-sekaciky/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Elektrické sekáčiky;Domáce spotrebiče > Kuchynské roboty a krájače;39741
/slahace/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Šľahače;Domáce spotrebiče > Kuchynské roboty a krájače;39840
/zmrzlinovace-a-jogurtovace/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Zmrzlinovače a jogurtovače;Domáce spotrebiče > Kuchynské roboty a krájače;40143
/stolove-mixery/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Stolové mixéry;Domáce spotrebiče > Kuchynské roboty a krájače;39606
/tycove-mixery/;/kuchynske-roboty-a-krajace/;exact;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače > Mixéry > Tyčové mixéry;Domáce spotrebiče > Kuchynské roboty a krájače;39843
/filtre-do-digestorov/;/digestory/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče > Digestory > Filtre do digestorov;Domáce spotrebiče > Digestory;39624
/kominove-digestory/;/digestory/;exact;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Komínové digestory;Domáce spotrebiče > Digestory;39963
/vysuvne--vyklopne-digestory/;/digestory/;exact;Domáce spotrebiče > Vstavané spotrebiče > Digestory > Výsuvné, výklopné digestory;Domáce spotrebiče > Digestory;40056
/zavesne-digestory/;/digestory/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče > Digestory > Závesné digestory;Domáce spotrebiče > Digestory;40146
/ostrovcekove-digestory/;/digestory/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče > Digestory > Ostrovčekové digestory;Domáce spotrebiče > Digestory;40383
/prislusenstvo-k-digestorom/;/digestory/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče > Digestory > Príslušenstvo k digestorom;Domáce spotrebiče > Digestory;40503
/pekace-a-zapekacie-misy/;/nadobie/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Nádobie > Pekáče a zapekacie misy;Domáce spotrebiče > Nádobie;39633
/pohare-a-flase/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Poháre a fľaše;Domáce spotrebiče > Nádobie;39636
/panvice/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Panvice;Domáce spotrebiče > Nádobie;39876
/dozy-na-potraviny/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Dózy na potraviny;Domáce spotrebiče > Nádobie;40080
/hrnce/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Hrnce;Domáce spotrebiče > Nádobie;40194
/termosky-a-termohrnceky/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Termosky a termohrnčeky;Domáce spotrebiče > Nádobie;40296
/hrnceky-a-salky/;/nadobie/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Nádobie > Hrnčeky a šálky;Domáce spotrebiče > Nádobie;40329
/pecuce-formy/;/nadobie/;exact;Domáce spotrebiče > Malé spotrebiče > Nádobie > Pečúce formy;Domáce spotrebiče > Nádobie;40392
/pokrievky/;/nadobie/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Nádobie > Pokrievky;Domáce spotrebiče > Nádobie;40617
/misy-a-misky/;/nadobie/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Nádobie > Misy a misky;Domáce spotrebiče > Nádobie;40881
/naparovacie-zehlicky/;/zehlicky/;exact;Domáce spotrebiče > Malé spotrebiče > Žehličky > Naparovacie žehličky;Domáce spotrebiče > Žehličky;39642
/zehliace-dosky/;/zehlicky/;exact;Domáce spotrebiče > Malé spotrebiče > Žehličky > Žehliace dosky;Domáce spotrebiče > Žehličky;39690
/susiaky-na-bielizen/;/zehlicky/;exact;Domáce spotrebiče > Malé spotrebiče > Žehličky > Sušiaky na bielizeň;Domáce spotrebiče > Žehličky;39759
/sijacie-stroje-a-prislusenstvo/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Šijacie stroje a príslušenstvo;Domáce spotrebiče > Žehličky;40095
/naparovace-odevov/;/zehlicky/;exact;Domáce spotrebiče > Malé spotrebiče > Žehličky > Naparovače odevov;Domáce spotrebiče > Žehličky;40200
/parne-generatory/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Parné generátory;Domáce spotrebiče > Žehličky;40203
/domove-alarmy-a-zvonceky/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Domové alarmy a zvončeky;Domáce spotrebiče > Žehličky;40692
/zehlicky-na-suche-zehlenie/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Žehličky na suché žehlenie;Domáce spotrebiče > Žehličky;40779
/cestovne-zehlicky/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Cestovné žehličky;Domáce spotrebiče > Žehličky;40809
/hodiny-a-budiky/;/zehlicky/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Žehličky > Hodiny a budíky;Domáce spotrebiče > Žehličky;40863
/palacinkovace/;/grily--pekarne--varice/;exact;Domáce spotrebiče > Malé spotrebiče > Grily, pekárne, variče > Palacinkovače;Domáce spotrebiče > Grily, pekárne, variče;39654
/elektricke-grily/;/grily--pekarne--varice/;exact;Domáce spotrebiče > Malé spotrebiče > Grily, pekárne, variče > Elektrické grily;Domáce spotrebiče > Grily, pekárne, variče;39669
