ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
ZS2334W;https://premiumstore.sk/led-reflektor-glaro-emos-zs2334w-s-pohybovym-cidlem-30-w-bily-ip54-3000-lm-neutralni-bila#73860;LED reflektor GLARO EMOS ZS2334W s pohybovým čidlem, 30 W, bílý, IP54, 3000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2334B;https://premiumstore.sk/led-reflektor-glaro-emos-zs2334b-s-pohybovym-cidlem-30-w-cerny-ip54-3000-lm-neutralni-bila#73859;LED reflektor GLARO EMOS ZS2334B s pohybovým čidlem, 30 W, černý, IP54, 3000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2324W;https://premiumstore.sk/led-reflektor-glaro-emos-zs2324w-s-pohybovym-cidlem-20-w-bily-ip54-2000-lm-neutralni-bila#73858;LED reflektor GLARO EMOS ZS2324W s pohybovým čidlem, 20 W, bílý, IP54, 2000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2324B;https://premiumstore.sk/led-reflektor-glaro-emos-zs2324b-s-pohybovym-cidlem-20-w-cerny-ip54-2000-lm-neutralni-bila#73857;LED reflektor GLARO EMOS ZS2324B s pohybovým čidlem, 20 W, černý, IP54, 2000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2314W;https://premiumstore.sk/led-reflektor-glaro-emos-zs2314w-s-pohybovym-cidlem-10-w-bily-ip54-1000-lm-neutralni-bila#73856;LED reflektor GLARO EMOS ZS2314W s pohybovým čidlem, 10 W, bílý, IP54, 1000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
ZS2314B;https://premiumstore.sk/led-reflektor-glaro-emos-zs2314b-s-pohybovym-cidlem-10-w-cerny-ip54-1000-lm-neutralni-bila#73855;LED reflektor GLARO EMOS ZS2314B s pohybovým čidlem, 10 W, černý, IP54, 1000 lm, neutrální bílá;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
UTi720B;https://premiumstore.sk/termokamera-uni-t-uti720b#73836;Termokamera UNI-T UTi720B;;;;;0.00;0;ZIADNA
P56A11;https://premiumstore.sk/termostat-emos-p56a11-pokojovy-programovatelny-bezdratovy-opentherm#73834;Termostat EMOS P56A11 pokojový programovatelný bezdrátový OpenTherm;;;;;0.00;0;ZIADNA
P56A02;https://premiumstore.sk/termostat-emos-p56a02-pokojovy-programovatelny-dratovy-opentherm#73833;Termostat EMOS P56A02 pokojový programovatelný drátový OpenTherm;;;;;0.00;0;ZIADNA
8595689805517;https://premiumstore.sk/dalkovy-ovladac-tesla-te-300-2-generace#73826;Dálkový ovládač Tesla TE-300  2. generace;;;;;0.00;0;ZIADNA
P3545;https://premiumstore.sk/celovka-emos-p3545-led-nabijeci-175-lm-50-m-li-pol-800-mah#73787;Čelovka EMOS P3545 LED nabíjecí, 175 lm, 50 m, Li-Pol 800 mAh;;LED Žiarovky;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky;led-ziarovky;4.93;1;NIZKA
Nomad48k;https://premiumstore.sk/powerbanka-mhpower-nomad-48k-lifepo4-48000mah-zelena#73762;Powerbanka MHPower Nomad 48k LiFePO4, 48000mAh, zelená;;Nabíjačky LiFePO4;Fotovoltaika a energie > Nabíjačky > Nabíjačky LiFePO4;nabijacky-lifepo4;7.86;1;NIZKA
D730423;https://premiumstore.sk/prepinac-emos-d730423-cyklone-prepinac-dvojity-stridavy-c-6-6-ip55#73759;Přepínač EMOS D730423 Cyklone přepínač dvojitý střídavý č. 6+6, IP55;;Vypínače a zásuvky ATLAS IP55;Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Vypínače a zásuvky ATLAS IP55;vypinace-a-zasuvky-atlas-ip55;7.86;1;NIZKA
Z7640GR;https://premiumstore.sk/stolni-lampa-poppy-na-zarovku-e27-zelena#73725;Emos Stolní lampa POPPY na žárovku E27, zelená;;E27 závit;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E27 závit;e27-zavit;7.86;1;NIZKA
Z7640P;https://premiumstore.sk/stolni-lampa-emos-z7640p-poppy-na-zarovku-e27-ruzova#73724;Stolní lampa EMOS Z7640P POPPY na žárovku E27, růžová;;E27 závit;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E27 závit;e27-zavit;7.86;1;NIZKA
Z7640W;https://premiumstore.sk/stolni-lampa-emos-z7640w-poppy-na-zarovku-e27-bila#73723;Stolní lampa EMOS Z7640W POPPY na žárovku E27, bílá;;E27 závit;Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > E27 závit;e27-zavit;7.86;1;NIZKA
B50444D;https://premiumstore.sk/nabijecka-baterii-gp-b441-speed-dock-4-x-aa-2100-mah#73702;Nabíječka baterií GP B441 + Speed Dock + 4 x AA 2100 mAh;;Vône SPEED;Auto-moto > Vybavenie autá > Osviežovače vzduchu > Vône SPEED;vone-speed;8.27;1;NIZKA
P56S11;https://premiumstore.sk/termostat-emos-p56s11-gosmart-pokojovy-programovatelny-bezdratovy-wifi#73698;Termostat EMOS P56S11 GoSmart pokojový programovatelný bezdrátový WiFi;;WiFi routery;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > WiFi routery;wifi-routery;8.27;1;NIZKA
P56S01;https://premiumstore.sk/termostat-emos-p56s01-gosmart-pokojovy-programovatelny-dratovy-wifi#73697;Termostat EMOS P56S01 GoSmart pokojový programovatelný drátový WiFi;;WiFi routery;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > WiFi routery;wifi-routery;8.27;1;NIZKA
P56A01;https://premiumstore.sk/termostat-emos-p56a01-pokojovy-programovatelny-dratovy-opentherm#73696;Termostat EMOS P56A01 pokojový programovatelný drátový OpenTherm;;;;;0.00;0;ZIADNA
S-BOX-PLUS;https://premiumstore.sk/s-box-foxess-plus-pozarni-bezpecnostni-odpinac-4-stringy#73687;S-BOX FOXESS PLUS - požární bezpečnostní odpínač, 4 stringy;;Bezpečnostní kamery;Domáce spotrebiče > Malé spotrebiče > Žehličky > Domové alarmy a zvončeky > Bezpečnostní kamery;bezpecnostni-kamery;8.27;1;NIZKA
